0:(17,21),(23,23),(1,20),(2,29),(28,26),(13,5),(13,9),(1,29),(14,24),(17,19),(22,8),
1:(17,20),(22,23),(1,19),(2,28),(27,26),(12,5),(13,10),(1,28),(14,25),(18,19),(22,7),
2:(17,19),(22,24),(2,19),(2,27),(26,26),(11,5),(13,11),(1,27),(13,25),(19,19),(22,6),
3:(18,19),(22,25),(3,19),(2,26),(25,26),(10,5),(12,11),(1,26),(12,25),(19,18),(22,5),
4:(19,19),(21,25),(4,19),(2,25),(25,27),(10,6),(11,11),(1,25),(11,25),(19,17),(23,5),
5:(19,18),(20,25),(4,18),(2,24),(25,28),(10,7),(10,11),(1,24),(10,25),(19,16),(23,5),
6:(19,17),(19,25),(4,17),(2,23),(24,28),(9,7),(9,11),(1,23),(9,25),(20,16),(23,5),
7:(19,16),(18,25),(4,16),(2,22),(23,28),(8,7),(8,11),(1,22),(8,25),(21,16),(23,5),
8:(19,15),(17,25),(5,16),(2,21),(22,28),(7,7),(7,11),(1,21),(8,24),(22,16),(23,5),
9:(19,14),(16,25),(6,16),(2,20),(22,29),(6,7),(6,11),(1,20),(8,23),(23,16),(23,5),
10:(18,14),(15,25),(7,16),(3,20),(22,30),(5,7),(5,11),(1,19),(8,22),(24,16),(23,5),
11:(17,14),(14,25),(8,16),(4,20),(22,31),(4,7),(4,11),(2,19),(7,22),(25,16),(23,5),
12:(17,15),(13,25),(9,16),(4,21),(21,31),(3,7),(3,11),(3,19),(6,22),(25,15),(23,5),
13:(17,16),(12,25),(10,16),(4,22),(20,31),(2,7),(2,11),(4,19),(5,22),(25,14),(23,5),
14:(16,16),(11,25),(10,15),(5,22),(19,31),(2,6),(2,12),(4,18),(5,21),(25,14),(23,5),
15:(15,16),(10,25),(10,14),(6,22),(18,31),(2,5),(2,13),(4,17),(5,20),(25,14),(23,5),
16:(15,16),(9,25),(10,13),(7,22),(17,31),(2,4),(3,13),(4,16),(5,19),(25,14),(23,5),
17:(15,16),(8,25),(9,13),(8,22),(17,30),(3,4),(4,13),(5,16),(5,18),(25,14),(23,5),
18:(15,16),(8,24),(8,13),(8,23),(17,29),(4,4),(5,13),(6,16),(5,17),(25,14),(23,5),
19:(15,16),(7,24),(7,13),(8,24),(17,28),(4,3),(6,13),(7,16),(5,16),(25,14),(23,5),
20:(15,16),(7,23),(6,13),(8,25),(17,27),(4,2),(7,13),(8,16),(6,16),(25,14),(23,5),
21:(15,16),(7,22),(5,13),(9,25),(17,26),(4,1),(8,13),(9,16),(7,16),(25,14),(23,5),
22:(15,16),(6,22),(4,13),(10,25),(17,25),(5,1),(9,13),(10,16),(8,16),(25,14),(23,5),
23:(15,16),(5,22),(3,13),(11,25),(16,25),(5,1),(10,13),(10,15),(9,16),(25,14),(23,5),
24:(15,16),(5,21),(2,13),(12,25),(15,25),(5,1),(11,13),(10,14),(10,16),(25,14),(23,5),
25:(15,16),(5,20),(2,12),(13,25),(14,25),(5,1),(11,14),(9,14),(10,15),(25,14),(23,5),
26:(15,16),(5,19),(2,11),(14,25),(14,24),(5,1),(11,15),(9,13),(10,14),(25,14),(23,5),
27:(15,16),(5,18),(2,10),(15,25),(14,23),(5,1),(11,16),(8,13),(10,13),(25,14),(23,5),
28:(15,16),(5,17),(3,10),(16,25),(14,22),(5,1),(10,16),(7,13),(9,13),(25,14),(23,5),
29:(15,16),(6,17),(4,10),(17,25),(14,21),(5,1),(9,16),(6,13),(8,13),(25,14),(23,5),
30:(15,16),(7,17),(5,10),(17,26),(14,20),(5,1),(8,16),(5,13),(7,13),(25,14),(23,5),
31:(15,16),(8,17),(6,10),(17,27),(14,19),(5,1),(7,16),(4,13),(6,13),(25,14),(23,5),
32:(15,16),(9,17),(7,10),(17,28),(14,18),(5,1),(7,17),(3,13),(5,13),(25,14),(23,5),
33:(15,16),(10,17),(8,10),(17,29),(14,17),(5,1),(6,17),(2,13),(4,13),(25,14),(23,5),
34:(15,16),(10,18),(9,10),(17,30),(15,17),(5,1),(5,17),(2,12),(3,13),(25,14),(23,5),
35:(15,16),(10,19),(10,10),(17,31),(16,17),(5,1),(5,18),(2,11),(2,13),(25,14),(23,5),
