0:(17,21),(23,23),(1,20),
1:(17,20),(22,23),(1,19),
2:(17,19),(22,24),(2,19),
3:(18,19),(22,25),(3,19),
4:(19,19),(21,25),(4,19),
5:(19,18),(20,25),(4,18),
6:(19,17),(19,25),(4,17),
7:(19,16),(18,25),(4,16),
8:(19,15),(17,25),(5,16),
9:(19,14),(16,25),(6,16),
10:(18,14),(15,25),(7,16),
11:(17,14),(14,25),(8,16),
12:(17,15),(13,25),(9,16),
13:(17,16),(12,25),(10,16),
14:(16,16),(11,25),(10,15),
15:(15,16),(10,25),(10,14),
16:(15,16),(9,25),(10,13),
17:(15,16),(8,25),(9,13),
18:(15,16),(8,24),(8,13),
19:(15,16),(8,23),(7,13),
20:(15,16),(8,22),(6,13),
21:(15,16),(7,22),(5,13),
22:(15,16),(6,22),(4,13),
23:(15,16),(5,22),(3,13),
24:(15,16),(5,21),(2,13),
25:(15,16),(5,20),(2,12),
26:(15,16),(5,19),(2,11),
27:(15,16),(5,18),(2,10),
28:(15,16),(5,17),(3,10),
29:(15,16),(6,17),(4,10),
30:(15,16),(7,17),(5,10),
31:(15,16),(8,17),(6,10),
32:(15,16),(9,17),(7,10),
33:(15,16),(10,17),(8,10),
34:(15,16),(10,18),(9,10),
35:(15,16),(10,19),(10,10),
36:(15,16),(10,19),(11,10),
37:(15,16),(10,19),(12,10),
38:(15,16),(10,19),(13,10),
39:(15,16),(10,19),(13,9),
40:(15,16),(10,19),(13,8),
41:(15,16),(10,19),(13,7),
42:(15,16),(10,19),(14,7),
43:(15,16),(10,19),(15,7),
44:(15,16),(10,19),(16,7),
45:(15,16),(10,19),(17,7),
46:(15,16),(10,19),(18,7),
47:(15,16),(10,19),(19,7),
48:(15,16),(10,19),(20,7),
49:(15,16),(10,19),(21,7),
50:(15,16),(10,19),(22,7),
51:(15,16),(10,19),(22,6),
52:(15,16),(10,19),(22,5),
53:(15,16),(10,19),(22,4),
54:(15,16),(10,19),(22,3),
55:(15,16),(10,19),(22,2),
56:(15,16),(10,19),(21,2),
57:(15,16),(10,19),(20,2),
58:(15,16),(10,19),(19,2),
59:(15,16),(10,19),(18,2),
60:(15,16),(10,19),(17,2),
61:(15,16),(10,19),(16,2),
62:(15,16),(10,19),(15,2),
63:(15,16),(10,19),(14,2),
64:(15,16),(10,19),(13,2),
65:(15,16),(10,19),(12,2),
66:(15,16),(10,19),(11,2),
67:(15,16),(10,19),(10,2),
68:(15,16),(10,19),(9,2),
69:(15,16),(10,19),(8,2),
