0:(220,92),(146,202),(254,112),
1:(220,91),(146,201),(254,111),
2:(220,90),(146,200),(253,111),
3:(219,90),(145,200),(252,111),
4:(219,89),(145,199),(251,111),
5:(219,88),(145,198),(251,112),
6:(218,88),(144,198),(250,112),
7:(218,87),(143,198),(249,112),
8:(217,87),(143,197),(248,112),
9:(217,86),(143,196),(247,112),
10:(217,85),(142,196),(246,112),
11:(217,84),(141,196),(245,112),
12:(216,84),(141,195),(245,113),
13:(215,84),(141,194),(244,113),
14:(215,83),(141,193),(243,113),
15:(214,83),(140,193),(242,113),
16:(214,82),(140,192),(242,114),
17:(214,81),(140,191),(242,115),
18:(213,81),(139,191),(242,116),
19:(212,81),(138,191),(241,116),
20:(211,81),(137,191),(240,116),
21:(210,81),(136,191),(239,116),
22:(210,80),(135,191),(238,116),
23:(209,80),(134,191),(238,117),
24:(208,80),(133,191),(238,118),
25:(207,80),(132,191),(237,118),
26:(206,80),(132,191),(237,119),
27:(205,80),(132,191),(237,120),
28:(204,80),(132,191),(237,121),
29:(203,80),(132,191),(237,122),
30:(202,80),(132,191),(237,123),
31:(201,80),(132,191),(236,123),
32:(200,80),(132,191),(235,123),
33:(199,80),(132,191),(234,123),
34:(198,80),(132,191),(233,123),
35:(198,79),(132,191),(232,123),
36:(198,78),(132,191),(231,123),
37:(197,78),(132,191),(231,124),
38:(197,77),(132,191),(230,124),
39:(197,76),(132,191),(230,125),
40:(197,75),(132,191),(230,126),
41:(197,74),(132,191),(230,127),
42:(197,73),(132,191),(230,128),
43:(197,72),(132,191),(230,129),
44:(196,72),(132,191),(230,130),
45:(195,72),(132,191),(230,131),
46:(194,72),(132,191),(229,131),
47:(194,71),(132,191),(229,132),
48:(194,70),(132,191),(229,133),
49:(194,69),(132,191),(229,134),
50:(194,68),(132,191),(229,135),
51:(194,67),(132,191),(229,136),
52:(194,66),(132,191),(229,137),
53:(194,65),(132,191),(228,137),
54:(194,65),(132,191),(228,138),
55:(194,65),(132,191),(227,138),
56:(194,65),(132,191),(227,139),
57:(194,65),(132,191),(226,139),
58:(194,65),(132,191),(226,140),
59:(194,65),(132,191),(226,141),
60:(194,65),(132,191),(226,142),
61:(194,65),(132,191),(225,142),
62:(194,65),(132,191),(224,142),
63:(194,65),(132,191),(224,143),
64:(194,65),(132,191),(224,144),
65:(194,65),(132,191),(224,145),
66:(194,65),(132,191),(223,145),
67:(194,65),(132,191),(223,146),
68:(194,65),(132,191),(223,147),
69:(194,65),(132,191),(222,147),
70:(194,65),(132,191),(222,148),
71:(194,65),(132,191),(222,149),
72:(194,65),(132,191),(221,149),
73:(194,65),(132,191),(221,150),
74:(194,65),(132,191),(221,151),
75:(194,65),(132,191),(220,151),
76:(194,65),(132,191),(220,152),
77:(194,65),(132,191),(220,153),
78:(194,65),(132,191),(219,153),
79:(194,65),(132,191),(219,154),
80:(194,65),(132,191),(219,155),
81:(194,65),(132,191),(219,156),
82:(194,65),(132,191),(219,157),
83:(194,65),(132,191),(219,158),
84:(194,65),(132,191),(219,159),
85:(194,65),(132,191),(219,160),
86:(194,65),(132,191),(219,161),
87:(194,65),(132,191),(219,162),
88:(194,65),(132,191),(219,163),
89:(194,65),(132,191),(219,164),
90:(194,65),(132,191),(219,165),
91:(194,65),(132,191),(219,166),
92:(194,65),(132,191),(219,167),
93:(194,65),(132,191),(219,168),
94:(194,65),(132,191),(219,169),
95:(194,65),(132,191),(219,170),
96:(194,65),(132,191),(219,171),
97:(194,65),(132,191),(219,172),
98:(194,65),(132,191),(219,173),
99:(194,65),(132,191),(219,174),
100:(194,65),(132,191),(219,175),
101:(194,65),(132,191),(219,176),
102:(194,65),(132,191),(218,176),
103:(194,65),(132,191),(218,177),
104:(194,65),(132,191),(217,177),
105:(194,65),(132,191),(216,177),
106:(194,65),(132,191),(215,177),
107:(194,65),(132,191),(214,177),
108:(194,65),(132,191),(214,178),
109:(194,65),(132,191),(214,179),
110:(194,65),(132,191),(214,180),
111:(194,65),(132,191),(214,181),
112:(194,65),(132,191),(215,181),
