0:(220,92),(146,202),(254,112),(87,83),(24,153),(51,230),(82,170),(93,77),(56,9),(141,38),(250,121),(178,15),
1:(220,91),(146,201),(254,111),(87,84),(25,153),(51,229),(83,170),(93,78),(57,9),(142,38),(250,122),(177,15),
2:(220,90),(146,200),(253,111),(88,84),(26,153),(51,228),(84,170),(93,79),(58,9),(143,38),(249,122),(176,15),
3:(219,90),(145,200),(252,111),(88,85),(27,153),(51,227),(85,170),(94,79),(59,9),(144,38),(248,122),(175,15),
4:(219,89),(145,199),(251,111),(88,86),(28,153),(51,226),(86,170),(94,80),(60,9),(145,38),(247,122),(175,16),
5:(219,88),(145,198),(251,112),(88,87),(29,153),(51,225),(87,170),(94,81),(61,9),(146,38),(246,122),(174,16),
6:(218,88),(144,198),(250,112),(88,88),(30,153),(51,224),(88,170),(95,81),(62,9),(147,38),(245,122),(173,16),
7:(218,87),(143,198),(249,112),(88,89),(31,153),(51,223),(89,170),(96,81),(63,9),(148,38),(244,122),(172,16),
8:(217,87),(143,197),(248,112),(89,89),(32,153),(51,222),(90,170),(96,82),(64,9),(149,38),(243,122),(172,17),
9:(217,86),(143,196),(247,112),(89,90),(32,154),(51,221),(91,170),(96,83),(65,9),(150,38),(242,122),(171,17),
10:(217,85),(142,196),(246,112),(90,90),(33,154),(51,220),(92,170),(97,83),(66,9),(150,37),(241,122),(170,17),
11:(217,84),(141,196),(245,112),(91,90),(34,154),(51,219),(93,170),(97,84),(66,10),(151,37),(240,122),(169,17),
12:(216,84),(141,195),(245,113),(91,91),(35,154),(51,218),(94,170),(97,85),(66,11),(152,37),(239,122),(168,17),
13:(215,84),(141,194),(244,113),(91,92),(36,154),(51,217),(95,170),(98,85),(66,12),(153,37),(238,122),(167,17),
14:(215,83),(141,193),(243,113),(91,93),(37,154),(51,216),(96,170),(98,86),(66,13),(154,37),(237,122),(166,17),
15:(214,83),(140,193),(242,113),(91,94),(38,154),(51,215),(97,170),(98,87),(67,13),(155,37),(236,122),(165,17),
16:(214,82),(140,192),(242,114),(91,95),(38,155),(51,214),(98,170),(98,88),(67,14),(155,36),(235,122),(164,17),
17:(214,81),(140,191),(242,115),(91,96),(38,156),(51,213),(99,170),(98,89),(68,14),(156,36),(234,122),(163,17),
18:(213,81),(139,191),(242,116),(91,97),(38,157),(51,212),(100,170),(98,90),(69,14),(157,36),(233,122),(162,17),
19:(212,81),(138,191),(241,116),(91,98),(39,157),(51,211),(101,170),(97,90),(70,14),(158,36),(232,122),(161,17),
20:(211,81),(137,191),(240,116),(91,99),(40,157),(51,210),(102,170),(96,90),(71,14),(159,36),(231,122),(160,17),
21:(210,81),(136,191),(239,116),(91,100),(41,157),(51,209),(103,170),(95,90),(72,14),(160,36),(230,122),(159,17),
22:(210,80),(135,191),(238,116),(91,101),(41,158),(51,208),(104,170),(94,90),(73,14),(161,36),(229,122),(158,17),
23:(209,80),(134,191),(238,117),(91,102),(41,159),(51,207),(105,170),(93,90),(73,15),(162,36),(228,122),(157,17),
24:(208,80),(133,191),(238,118),(91,103),(41,160),(51,206),(106,170),(92,90),(73,16),(163,36),(227,122),(156,17),
25:(207,80),(132,191),(237,118),(91,104),(41,161),(51,205),(107,170),(92,91),(73,17),(164,36),(226,122),(156,18),
26:(206,80),(132,191),(237,119),(91,105),(41,162),(51,204),(108,170),(92,92),(74,17),(165,36),(225,122),(156,19),
27:(205,80),(132,191),(237,120),(91,106),(41,163),(51,203),(109,170),(91,92),(75,17),(166,36),(224,122),(156,20),
28:(204,80),(132,191),(237,121),(91,107),(42,163),(51,202),(110,170),(90,92),(76,17),(167,36),(223,122),(155,20),
29:(203,80),(132,191),(237,122),(91,108),(43,163),(51,201),(110,171),(89,92),(77,17),(168,36),(222,122),(154,20),
30:(202,80),(132,191),(237,123),(91,109),(43,164),(51,200),(110,172),(88,92),(78,17),(169,36),(222,121),(153,20),
31:(201,80),(132,191),(236,123),(92,109),(43,165),(51,199),(111,172),(87,92),(79,17),(170,36),(221,121),(152,20),
32:(200,80),(132,191),(235,123),(93,109),(43,166),(51,198),(111,173),(86,92),(80,17),(171,36),(221,120),(152,21),
33:(199,80),(132,191),(234,123),(94,109),(43,167),(51,197),(111,174),(85,92),(80,18),(172,36),(221,119),(151,21),
34:(198,80),(132,191),(233,123),(94,110),(43,168),(51,196),(111,175),(85,93),(80,19),(173,36),(220,119),(150,21),
35:(198,79),(132,191),(232,123),(94,111),(43,169),(51,195),(112,175),(85,94),(80,20),(173,37),(220,118),(150,22),
36:(198,78),(132,191),(231,123),(95,111),(43,170),(51,194),(112,176),(85,95),(80,21),(174,37),(219,118),(149,22),
37:(197,78),(132,191),(231,124),(95,112),(43,171),(51,193),(112,177),(84,95),(80,22),(175,37),(218,118),(149,23),
38:(197,77),(132,191),(230,124),(96,112),(43,172),(51,192),(113,177),(84,96),(80,23),(176,37),(217,118),(148,23),
39:(197,76),(132,191),(230,125),(97,112),(43,173),(51,191),(113,178),(84,97),(80,24),(177,37),(216,118),(147,23),
40:(197,75),(132,191),(230,126),(98,112),(43,174),(51,190),(113,179),(83,97),(80,25),(178,37),(215,118),(146,23),
41:(197,74),(132,191),(230,127),(98,113),(44,174),(51,189),(113,180),(82,97),(80,26),(179,37),(215,119),(146,24),
42:(197,73),(132,191),(230,128),(99,113),(45,174),(51,188),(113,181),(81,97),(80,27),(180,37),(214,119),(145,24),
