0:(220,92),(146,202),(254,112),(87,83),(24,153),
1:(220,91),(146,201),(254,111),(87,84),(25,153),
2:(220,90),(146,200),(253,111),(88,84),(26,153),
3:(219,90),(145,200),(252,111),(88,85),(27,153),
4:(219,89),(145,199),(251,111),(88,86),(28,153),
5:(219,88),(145,198),(251,112),(88,87),(29,153),
6:(218,88),(144,198),(250,112),(88,88),(30,153),
7:(218,87),(143,198),(249,112),(88,89),(31,153),
8:(217,87),(143,197),(248,112),(89,89),(32,153),
9:(217,86),(143,196),(247,112),(89,90),(32,154),
10:(217,85),(142,196),(246,112),(90,90),(33,154),
11:(217,84),(141,196),(245,112),(91,90),(34,154),
12:(216,84),(141,195),(245,113),(91,91),(35,154),
13:(215,84),(141,194),(244,113),(91,92),(36,154),
14:(215,83),(141,193),(243,113),(91,93),(37,154),
15:(214,83),(140,193),(242,113),(91,94),(38,154),
16:(214,82),(140,192),(242,114),(91,95),(38,155),
17:(214,81),(140,191),(242,115),(91,96),(38,156),
18:(213,81),(139,191),(242,116),(91,97),(38,157),
19:(212,81),(138,191),(241,116),(91,98),(39,157),
20:(211,81),(137,191),(240,116),(91,99),(40,157),
21:(210,81),(136,191),(239,116),(91,100),(41,157),
22:(210,80),(135,191),(238,116),(91,101),(41,158),
23:(209,80),(134,191),(238,117),(91,102),(41,159),
24:(208,80),(133,191),(238,118),(91,103),(41,160),
25:(207,80),(132,191),(237,118),(91,104),(41,161),
26:(206,80),(132,191),(237,119),(91,105),(41,162),
27:(205,80),(132,191),(237,120),(91,106),(41,163),
28:(204,80),(132,191),(237,121),(91,107),(42,163),
29:(203,80),(132,191),(237,122),(91,108),(43,163),
30:(202,80),(132,191),(237,123),(91,109),(43,164),
31:(201,80),(132,191),(236,123),(92,109),(43,165),
32:(200,80),(132,191),(235,123),(93,109),(43,166),
33:(199,80),(132,191),(234,123),(94,109),(43,167),
34:(198,80),(132,191),(233,123),(94,110),(43,168),
35:(198,79),(132,191),(232,123),(94,111),(43,169),
36:(198,78),(132,191),(231,123),(95,111),(43,170),
37:(197,78),(132,191),(231,124),(95,112),(43,171),
38:(197,77),(132,191),(230,124),(96,112),(43,172),
39:(197,76),(132,191),(230,125),(97,112),(43,173),
40:(197,75),(132,191),(230,126),(98,112),(43,174),
41:(197,74),(132,191),(230,127),(98,113),(44,174),
42:(197,73),(132,191),(230,128),(99,113),(45,174),
43:(197,72),(132,191),(230,129),(99,114),(46,174),
44:(196,72),(132,191),(230,130),(99,115),(47,174),
45:(195,72),(132,191),(230,131),(99,116),(48,174),
46:(194,72),(132,191),(229,131),(99,117),(48,175),
47:(194,71),(132,191),(229,132),(99,118),(49,175),
48:(194,70),(132,191),(229,133),(100,118),(50,175),
49:(194,69),(132,191),(229,134),(100,119),(51,175),
50:(194,68),(132,191),(229,135),(100,120),(52,175),
51:(194,67),(132,191),(229,136),(100,121),(52,176),
52:(194,66),(132,191),(229,137),(100,122),(52,177),
53:(194,65),(132,191),(228,137),(100,123),(53,177),
54:(194,65),(132,191),(228,138),(101,123),(54,177),
55:(194,65),(132,191),(227,138),(101,124),(55,177),
56:(194,65),(132,191),(227,139),(101,125),(56,177),
57:(194,65),(132,191),(226,139),(101,126),(57,177),
58:(194,65),(132,191),(226,140),(101,127),(57,178),
59:(194,65),(132,191),(226,141),(101,128),(58,178),
60:(194,65),(132,191),(226,142),(102,128),(58,179),
61:(194,65),(132,191),(225,142),(102,129),(58,180),
62:(194,65),(132,191),(224,142),(102,130),(58,181),
63:(194,65),(132,191),(224,143),(102,131),(58,182),
64:(194,65),(132,191),(224,144),(102,132),(58,183),
65:(194,65),(132,191),(224,145),(102,133),(58,184),
66:(194,65),(132,191),(223,145),(103,133),(58,185),
67:(194,65),(132,191),(223,146),(103,134),(58,186),
68:(194,65),(132,191),(223,147),(103,135),(58,187),
69:(194,65),(132,191),(222,147),(103,136),(58,188),
70:(194,65),(132,191),(222,148),(103,137),(58,189),
71:(194,65),(132,191),(222,149),(103,138),(58,190),
72:(194,65),(132,191),(221,149),(103,139),(58,191),
73:(194,65),(132,191),(221,150),(103,140),(58,192),
74:(194,65),(132,191),(221,151),(103,141),(58,193),
75:(194,65),(132,191),(220,151),(103,142),(58,194),
76:(194,65),(132,191),(220,152),(103,143),(58,195),
77:(194,65),(132,191),(220,153),(103,144),(58,196),
78:(194,65),(132,191),(219,153),(103,145),(58,197),
79:(194,65),(132,191),(219,154),(103,146),(58,198),
80:(194,65),(132,191),(219,155),(103,147),(58,199),
81:(194,65),(132,191),(219,156),(103,148),(58,200),
82:(194,65),(132,191),(219,157),(103,149),(58,201),
83:(194,65),(132,191),(219,158),(103,150),(58,201),
84:(194,65),(132,191),(219,159),(103,151),(58,201),
85:(194,65),(132,191),(219,160),(103,152),(58,201),
86:(194,65),(132,191),(219,161),(103,153),(58,201),
87:(194,65),(132,191),(219,162),(103,154),(58,201),
88:(194,65),(132,191),(219,163),(103,155),(58,201),
89:(194,65),(132,191),(219,164),(103,156),(58,201),
90:(194,65),(132,191),(219,165),(103,157),(58,201),
91:(194,65),(132,191),(219,166),(103,158),(58,201),
92:(194,65),(132,191),(219,167),(103,159),(58,201),
93:(194,65),(132,191),(219,168),(103,160),(58,201),
94:(194,65),(132,191),(219,169),(103,161),(58,201),
95:(194,65),(132,191),(219,170),(103,162),(58,201),
96:(194,65),(132,191),(219,171),(103,163),(58,201),
97:(194,65),(132,191),(219,172),(103,164),(58,201),
98:(194,65),(132,191),(219,173),(104,164),(58,201),
99:(194,65),(132,191),(219,174),(104,165),(58,201),
100:(194,65),(132,191),(219,175),(105,165),(58,201),
101:(194,65),(132,191),(219,176),(105,166),(58,201),
102:(194,65),(132,191),(218,176),(105,167),(58,201),
103:(194,65),(132,191),(218,177),(105,168),(58,201),
104:(194,65),(132,191),(217,177),(105,169),(58,201),
105:(194,65),(132,191),(216,177),(105,170),(58,201),
106:(194,65),(132,191),(215,177),(105,171),(58,201),
107:(194,65),(132,191),(214,177),(105,172),(58,201),
108:(194,65),(132,191),(214,178),(105,173),(58,201),
109:(194,65),(132,191),(214,179),(105,174),(58,201),
110:(194,65),(132,191),(214,180),(105,175),(58,201),
111:(194,65),(132,191),(214,181),(105,176),(58,201),
112:(194,65),(132,191),(215,181),(105,177),(58,201),
113:(194,65),(132,191),(215,182),(105,178),(58,201),
114:(194,65),(132,191),(215,183),(105,179),(58,201),
115:(194,65),(132,191),(215,184),(105,180),(58,201),
116:(194,65),(132,191),(215,185),(105,181),(58,201),
117:(194,65),(132,191),(216,185),(105,182),(58,201),
118:(194,65),(132,191),(216,186),(105,183),(58,201),
119:(194,65),(132,191),(216,187),(105,184),(58,201),
120:(194,65),(132,191),(216,188),(105,185),(58,201),
121:(194,65),(132,191),(216,189),(105,186),(58,201),
122:(194,65),(132,191),(216,190),(106,186),(58,201),
123:(194,65),(132,191),(216,191),(106,187),(58,201),
124:(194,65),(132,191),(216,192),(106,188),(58,201),
125:(194,65),(132,191),(216,193),(106,189),(58,201),
126:(194,65),(132,191),(216,194),(106,190),(58,201),
127:(194,65),(132,191),(216,195),(106,191),(58,201),
128:(194,65),(132,191),(216,196),(106,192),(58,201),
129:(194,65),(132,191),(216,197),(106,193),(58,201),
130:(194,65),(132,191),(216,198),(106,194),(58,201),
131:(194,65),(132,191),(216,199),(106,195),(58,201),
132:(194,65),(132,191),(216,200),(107,195),(58,201),
133:(194,65),(132,191),(216,201),(107,196),(58,201),
134:(194,65),(132,191),(216,202),(107,197),(58,201),
135:(194,65),(132,191),(216,203),(107,198),(58,201),
136:(194,65),(132,191),(216,204),(107,199),(58,201),
137:(194,65),(132,191),(216,205),(107,200),(58,201),
138:(194,65),(132,191),(216,206),(107,201),(58,201),
139:(194,65),(132,191),(216,207),(107,202),(58,201),
140:(194,65),(132,191),(216,208),(107,203),(58,201),
141:(194,65),(132,191),(216,209),(107,204),(58,201),
142:(194,65),(132,191),(217,209),(107,205),(58,201),
143:(194,65),(132,191),(217,210),(107,206),(58,201),
144:(194,65),(132,191),(217,211),(107,207),(58,201),
145:(194,65),(132,191),(217,212),(107,208),(58,201),
146:(194,65),(132,191),(217,213),(107,209),(58,201),
147:(194,65),(132,191),(218,213),(107,210),(58,201),
148:(194,65),(132,191),(218,214),(107,211),(58,201),
149:(194,65),(132,191),(218,215),(107,212),(58,201),
150:(194,65),(132,191),(218,216),(107,213),(58,201),
151:(194,65),(132,191),(219,216),(107,214),(58,201),
152:(194,65),(132,191),(219,217),(107,215),(58,201),
153:(194,65),(132,191),(220,217),(107,216),(58,201),
154:(194,65),(132,191),(220,218),(107,217),(58,201),
155:(194,65),(132,191),(221,218),(107,218),(58,201),
156:(194,65),(132,191),(222,218),(107,219),(58,201),
157:(194,65),(132,191),(222,219),(107,220),(58,201),
158:(194,65),(132,191),(222,219),(107,221),(58,201),
159:(194,65),(132,191),(222,219),(107,222),(58,201),
160:(194,65),(132,191),(222,219),(107,223),(58,201),
161:(194,65),(132,191),(222,219),(107,224),(58,201),
162:(194,65),(132,191),(222,219),(107,225),(58,201),
163:(194,65),(132,191),(222,219),(107,226),(58,201),
164:(194,65),(132,191),(222,219),(107,227),(58,201),
165:(194,65),(132,191),(222,219),(107,228),(58,201),
166:(194,65),(132,191),(222,219),(107,229),(58,201),
167:(194,65),(132,191),(222,219),(107,230),(58,201),
168:(194,65),(132,191),(222,219),(107,231),(58,201),
169:(194,65),(132,191),(222,219),(107,232),(58,201),
170:(194,65),(132,191),(222,219),(107,233),(58,201),
171:(194,65),(132,191),(222,219),(107,234),(58,201),
172:(194,65),(132,191),(222,219),(107,235),(58,201),
173:(194,65),(132,191),(222,219),(107,236),(58,201),
174:(194,65),(132,191),(222,219),(107,237),(58,201),
175:(194,65),(132,191),(222,219),(107,238),(58,201),
176:(194,65),(132,191),(222,219),(107,239),(58,201),
177:(194,65),(132,191),(222,219),(107,240),(58,201),
178:(194,65),(132,191),(222,219),(107,241),(58,201),
179:(194,65),(132,191),(222,219),(107,242),(58,201),
180:(194,65),(132,191),(222,219),(107,243),(58,201),
181:(194,65),(132,191),(222,219),(107,244),(58,201),
182:(194,65),(132,191),(222,219),(107,245),(58,201),
183:(194,65),(132,191),(222,219),(107,246),(58,201),
