0:(220,92),(146,202),(254,112),(87,83),(24,153),(51,230),
1:(220,91),(146,201),(254,111),(87,84),(25,153),(51,229),
2:(220,90),(146,200),(253,111),(88,84),(26,153),(51,228),
3:(219,90),(145,200),(252,111),(88,85),(27,153),(51,227),
4:(219,89),(145,199),(251,111),(88,86),(28,153),(51,226),
5:(219,88),(145,198),(251,112),(88,87),(29,153),(51,225),
6:(218,88),(144,198),(250,112),(88,88),(30,153),(51,224),
7:(218,87),(143,198),(249,112),(88,89),(31,153),(51,223),
8:(217,87),(143,197),(248,112),(89,89),(32,153),(51,222),
9:(217,86),(143,196),(247,112),(89,90),(32,154),(51,221),
10:(217,85),(142,196),(246,112),(90,90),(33,154),(51,220),
11:(217,84),(141,196),(245,112),(91,90),(34,154),(51,219),
12:(216,84),(141,195),(245,113),(91,91),(35,154),(51,218),
13:(215,84),(141,194),(244,113),(91,92),(36,154),(51,217),
14:(215,83),(141,193),(243,113),(91,93),(37,154),(51,216),
15:(214,83),(140,193),(242,113),(91,94),(38,154),(51,215),
16:(214,82),(140,192),(242,114),(91,95),(38,155),(51,214),
17:(214,81),(140,191),(242,115),(91,96),(38,156),(51,213),
18:(213,81),(139,191),(242,116),(91,97),(38,157),(51,212),
19:(212,81),(138,191),(241,116),(91,98),(39,157),(51,211),
20:(211,81),(137,191),(240,116),(91,99),(40,157),(51,210),
21:(210,81),(136,191),(239,116),(91,100),(41,157),(51,209),
22:(210,80),(135,191),(238,116),(91,101),(41,158),(51,208),
23:(209,80),(134,191),(238,117),(91,102),(41,159),(51,207),
24:(208,80),(133,191),(238,118),(91,103),(41,160),(51,206),
25:(207,80),(132,191),(237,118),(91,104),(41,161),(51,205),
26:(206,80),(132,191),(237,119),(91,105),(41,162),(51,204),
27:(205,80),(132,191),(237,120),(91,106),(41,163),(51,203),
28:(204,80),(132,191),(237,121),(91,107),(42,163),(51,202),
29:(203,80),(132,191),(237,122),(91,108),(43,163),(51,201),
30:(202,80),(132,191),(237,123),(91,109),(43,164),(51,200),
31:(201,80),(132,191),(236,123),(92,109),(43,165),(51,199),
32:(200,80),(132,191),(235,123),(93,109),(43,166),(51,198),
33:(199,80),(132,191),(234,123),(94,109),(43,167),(51,197),
34:(198,80),(132,191),(233,123),(94,110),(43,168),(51,196),
35:(198,79),(132,191),(232,123),(94,111),(43,169),(51,195),
36:(198,78),(132,191),(231,123),(95,111),(43,170),(51,194),
37:(197,78),(132,191),(231,124),(95,112),(43,171),(51,193),
38:(197,77),(132,191),(230,124),(96,112),(43,172),(51,192),
39:(197,76),(132,191),(230,125),(97,112),(43,173),(51,191),
40:(197,75),(132,191),(230,126),(98,112),(43,174),(51,190),
41:(197,74),(132,191),(230,127),(98,113),(44,174),(51,189),
42:(197,73),(132,191),(230,128),(99,113),(45,174),(51,188),
43:(197,72),(132,191),(230,129),(99,114),(46,174),(51,187),
44:(196,72),(132,191),(230,130),(99,115),(47,174),(51,186),
45:(195,72),(132,191),(230,131),(99,116),(48,174),(51,185),
46:(194,72),(132,191),(229,131),(99,117),(48,175),(51,184),
47:(194,71),(132,191),(229,132),(99,118),(49,175),(51,183),
48:(194,70),(132,191),(229,133),(100,118),(50,175),(51,182),
