0:(220,92),(146,202),(254,112),(87,83),(24,153),(51,230),(82,170),(93,77),(56,9),(141,38),(250,121),(178,15),(157,140),(80,142),(125,82),(13,43),(115,248),(17,151),(79,126),(126,184),(171,101),(78,150),(6,76),(117,214),(47,167),(41,230),(212,35),(98,225),(73,11),
1:(220,91),(146,201),(254,111),(87,84),(25,153),(51,229),(83,170),(93,78),(57,9),(142,38),(250,122),(177,15),(157,139),(80,141),(126,82),(14,43),(115,247),(18,151),(79,127),(126,185),(171,100),(77,150),(7,76),(118,214),(47,168),(41,229),(211,35),(98,224),(73,12),
2:(220,90),(146,200),(253,111),(88,84),(26,153),(51,228),(84,170),(93,79),(58,9),(143,38),(249,122),(176,15),(157,138),(80,140),(127,82),(15,43),(115,246),(19,151),(79,128),(126,186),(171,99),(76,150),(8,76),(119,214),(47,169),(41,228),(210,35),(98,223),(73,13),
3:(219,90),(145,200),(252,111),(88,85),(27,153),(51,227),(85,170),(94,79),(59,9),(144,38),(248,122),(175,15),(158,138),(80,139),(128,82),(16,43),(114,246),(20,151),(79,129),(126,187),(171,98),(75,150),(9,76),(120,214),(47,170),(41,227),(209,35),(98,222),(73,14),
4:(219,89),(145,199),(251,111),(88,86),(28,153),(51,226),(86,170),(94,80),(60,9),(145,38),(247,122),(175,16),(159,138),(80,138),(129,82),(16,44),(114,245),(21,151),(79,130),(125,187),(171,97),(75,151),(10,76),(121,214),(47,171),(41,226),(209,36),(99,222),(73,15),
5:(219,88),(145,198),(251,112),(88,87),(29,153),(51,225),(87,170),(94,81),(61,9),(146,38),(246,122),(174,16),(160,138),(80,137),(130,82),(16,45),(114,244),(22,151),(79,131),(124,187),(171,96),(74,151),(11,76),(122,214),(47,172),(41,225),(209,37),(99,221),(73,16),
6:(218,88),(144,198),(250,112),(88,88),(30,153),(51,224),(88,170),(95,81),(62,9),(147,38),(245,122),(173,16),(160,138),(80,136),(131,82),(16,46),(113,244),(23,151),(79,132),(123,187),(171,95),(73,151),(11,77),(123,214),(47,173),(41,224),(208,37),(99,220),(73,17),
7:(218,87),(143,198),(249,112),(88,89),(31,153),(51,223),(89,170),(96,81),(63,9),(148,38),(244,122),(172,16),(160,138),(80,135),(132,82),(16,47),(112,244),(24,151),(79,133),(123,188),(171,94),(72,151),(11,78),(124,214),(47,174),(41,223),(207,37),(99,219),(73,18),
8:(217,87),(143,197),(248,112),(89,89),(32,153),(51,222),(90,170),(96,82),(64,9),(149,38),(243,122),(172,17),(160,138),(80,134),(133,82),(16,48),(112,243),(25,151),(79,134),(122,188),(171,93),(72,152),(11,79),(125,214),(47,175),(41,222),(206,37),(99,218),(73,19),
9:(217,86),(143,196),(247,112),(89,90),(32,154),(51,221),(91,170),(96,83),(65,9),(150,38),(242,122),(171,17),(160,138),(80,133),(134,82),(17,48),(112,242),(26,151),(79,135),(121,188),(171,92),(72,153),(11,80),(126,214),(47,176),(41,221),(205,37),(99,217),(74,19),
