0:(220,92),(146,202),
1:(220,91),(146,201),
2:(220,90),(146,200),
3:(219,90),(145,200),
4:(219,89),(145,199),
5:(219,88),(145,198),
6:(218,88),(144,198),
7:(218,87),(143,198),
8:(217,87),(143,197),
9:(217,86),(143,196),
10:(217,85),(142,196),
11:(217,84),(141,196),
12:(216,84),(141,195),
13:(215,84),(141,194),
14:(215,83),(141,193),
15:(214,83),(140,193),
16:(214,82),(140,192),
17:(214,81),(140,191),
18:(213,81),(139,191),
19:(212,81),(138,191),
20:(211,81),(137,191),
21:(210,81),(136,191),
22:(210,80),(135,191),
23:(209,80),(134,191),
24:(208,80),(133,191),
25:(207,80),(132,191),
26:(206,80),(132,191),
27:(205,80),(132,191),
28:(204,80),(132,191),
29:(203,80),(132,191),
30:(202,80),(132,191),
31:(201,80),(132,191),
32:(200,80),(132,191),
33:(199,80),(132,191),
34:(198,80),(132,191),
35:(198,79),(132,191),
36:(198,78),(132,191),
37:(197,78),(132,191),
38:(197,77),(132,191),
39:(197,76),(132,191),
40:(197,75),(132,191),
41:(197,74),(132,191),
42:(197,73),(132,191),
43:(197,72),(132,191),
44:(196,72),(132,191),
45:(195,72),(132,191),
46:(194,72),(132,191),
47:(194,71),(132,191),
48:(194,70),(132,191),
49:(194,69),(132,191),
50:(194,68),(132,191),
51:(194,67),(132,191),
52:(194,66),(132,191),
53:(194,65),(132,191),
