0:(220,92),(146,202),(254,112),(87,83),
1:(220,91),(146,201),(254,111),(87,84),
2:(220,90),(146,200),(253,111),(88,84),
3:(219,90),(145,200),(252,111),(88,85),
4:(219,89),(145,199),(251,111),(88,86),
5:(219,88),(145,198),(251,112),(88,87),
6:(218,88),(144,198),(250,112),(88,88),
7:(218,87),(143,198),(249,112),(88,89),
8:(217,87),(143,197),(248,112),(89,89),
9:(217,86),(143,196),(247,112),(89,90),
10:(217,85),(142,196),(246,112),(90,90),
11:(217,84),(141,196),(245,112),(91,90),
12:(216,84),(141,195),(245,113),(91,91),
13:(215,84),(141,194),(244,113),(91,92),
14:(215,83),(141,193),(243,113),(91,93),
15:(214,83),(140,193),(242,113),(91,94),
16:(214,82),(140,192),(242,114),(91,95),
17:(214,81),(140,191),(242,115),(91,96),
18:(213,81),(139,191),(242,116),(91,97),
19:(212,81),(138,191),(241,116),(91,98),
20:(211,81),(137,191),(240,116),(91,99),
21:(210,81),(136,191),(239,116),(91,100),
22:(210,80),(135,191),(238,116),(91,101),
23:(209,80),(134,191),(238,117),(91,102),
24:(208,80),(133,191),(238,118),(91,103),
25:(207,80),(132,191),(237,118),(91,104),
26:(206,80),(132,191),(237,119),(91,105),
27:(205,80),(132,191),(237,120),(91,106),
28:(204,80),(132,191),(237,121),(91,107),
29:(203,80),(132,191),(237,122),(91,108),
30:(202,80),(132,191),(237,123),(91,109),
31:(201,80),(132,191),(236,123),(92,109),
32:(200,80),(132,191),(235,123),(93,109),
33:(199,80),(132,191),(234,123),(94,109),
34:(198,80),(132,191),(233,123),(94,110),
35:(198,79),(132,191),(232,123),(94,111),
36:(198,78),(132,191),(231,123),(95,111),
37:(197,78),(132,191),(231,124),(95,112),
38:(197,77),(132,191),(230,124),(96,112),
39:(197,76),(132,191),(230,125),(97,112),
40:(197,75),(132,191),(230,126),(98,112),
41:(197,74),(132,191),(230,127),(98,113),
42:(197,73),(132,191),(230,128),(99,113),
43:(197,72),(132,191),(230,129),(99,114),
44:(196,72),(132,191),(230,130),(99,115),
45:(195,72),(132,191),(230,131),(99,116),
46:(194,72),(132,191),(229,131),(99,117),
47:(194,71),(132,191),(229,132),(99,118),
48:(194,70),(132,191),(229,133),(100,118),
49:(194,69),(132,191),(229,134),(100,119),
50:(194,68),(132,191),(229,135),(100,120),
51:(194,67),(132,191),(229,136),(100,121),
52:(194,66),(132,191),(229,137),(100,122),
53:(194,65),(132,191),(228,137),(100,123),
54:(194,65),(132,191),(228,138),(101,123),
55:(194,65),(132,191),(227,138),(101,124),
56:(194,65),(132,191),(227,139),(101,125),
57:(194,65),(132,191),(226,139),(101,126),
58:(194,65),(132,191),(226,140),(101,127),
59:(194,65),(132,191),(226,141),(101,128),
60:(194,65),(132,191),(226,142),(102,128),
61:(194,65),(132,191),(225,142),(102,129),
62:(194,65),(132,191),(224,142),(102,130),
63:(194,65),(132,191),(224,143),(102,131),
64:(194,65),(132,191),(224,144),(102,132),
65:(194,65),(132,191),(224,145),(102,133),
66:(194,65),(132,191),(223,145),(103,133),
67:(194,65),(132,191),(223,146),(103,134),
68:(194,65),(132,191),(223,147),(103,135),
69:(194,65),(132,191),(222,147),(103,136),
70:(194,65),(132,191),(222,148),(103,137),
71:(194,65),(132,191),(222,149),(103,138),
72:(194,65),(132,191),(221,149),(103,139),
73:(194,65),(132,191),(221,150),(103,140),
74:(194,65),(132,191),(221,151),(103,141),
75:(194,65),(132,191),(220,151),(103,142),
76:(194,65),(132,191),(220,152),(103,143),
77:(194,65),(132,191),(220,153),(103,144),
78:(194,65),(132,191),(219,153),(103,145),
79:(194,65),(132,191),(219,154),(103,146),
80:(194,65),(132,191),(219,155),(103,147),
81:(194,65),(132,191),(219,156),(103,148),
82:(194,65),(132,191),(219,157),(103,149),
83:(194,65),(132,191),(219,158),(103,150),
84:(194,65),(132,191),(219,159),(103,151),
85:(194,65),(132,191),(219,160),(103,152),
86:(194,65),(132,191),(219,161),(103,153),
87:(194,65),(132,191),(219,162),(103,154),
88:(194,65),(132,191),(219,163),(103,155),
89:(194,65),(132,191),(219,164),(103,156),
90:(194,65),(132,191),(219,165),(103,157),
91:(194,65),(132,191),(219,166),(103,158),
92:(194,65),(132,191),(219,167),(103,159),
93:(194,65),(132,191),(219,168),(103,160),
94:(194,65),(132,191),(219,169),(103,161),
95:(194,65),(132,191),(219,170),(103,162),
96:(194,65),(132,191),(219,171),(103,163),
97:(194,65),(132,191),(219,172),(103,164),
98:(194,65),(132,191),(219,173),(104,164),
99:(194,65),(132,191),(219,174),(104,165),
100:(194,65),(132,191),(219,175),(105,165),
101:(194,65),(132,191),(219,176),(105,166),
102:(194,65),(132,191),(218,176),(105,167),
103:(194,65),(132,191),(218,177),(105,168),
104:(194,65),(132,191),(217,177),(105,169),
105:(194,65),(132,191),(216,177),(105,170),
106:(194,65),(132,191),(215,177),(105,171),
107:(194,65),(132,191),(214,177),(105,172),
108:(194,65),(132,191),(214,178),(105,173),
109:(194,65),(132,191),(214,179),(105,174),
110:(194,65),(132,191),(214,180),(105,175),
111:(194,65),(132,191),(214,181),(105,176),
112:(194,65),(132,191),(215,181),(105,177),
113:(194,65),(132,191),(215,182),(105,178),
114:(194,65),(132,191),(215,183),(105,179),
115:(194,65),(132,191),(215,184),(105,180),
116:(194,65),(132,191),(215,185),(105,181),
117:(194,65),(132,191),(216,185),(105,182),
118:(194,65),(132,191),(216,186),(105,183),
119:(194,65),(132,191),(216,187),(105,184),
120:(194,65),(132,191),(216,188),(105,185),
121:(194,65),(132,191),(216,189),(105,186),
122:(194,65),(132,191),(216,190),(106,186),
123:(194,65),(132,191),(216,191),(106,187),
124:(194,65),(132,191),(216,192),(106,188),
125:(194,65),(132,191),(216,193),(106,189),
126:(194,65),(132,191),(216,194),(106,190),
127:(194,65),(132,191),(216,195),(106,191),
128:(194,65),(132,191),(216,196),(106,192),
129:(194,65),(132,191),(216,197),(106,193),
130:(194,65),(132,191),(216,198),(106,194),
131:(194,65),(132,191),(216,199),(106,195),
132:(194,65),(132,191),(216,200),(107,195),
133:(194,65),(132,191),(216,201),(107,196),
134:(194,65),(132,191),(216,202),(107,197),
135:(194,65),(132,191),(216,203),(107,198),
136:(194,65),(132,191),(216,204),(107,199),
137:(194,65),(132,191),(216,205),(107,200),
138:(194,65),(132,191),(216,206),(107,201),
139:(194,65),(132,191),(216,207),(107,202),
140:(194,65),(132,191),(216,208),(107,203),
141:(194,65),(132,191),(216,209),(107,204),
142:(194,65),(132,191),(217,209),(107,205),
143:(194,65),(132,191),(217,210),(107,206),
144:(194,65),(132,191),(217,211),(107,207),
145:(194,65),(132,191),(217,212),(107,208),
146:(194,65),(132,191),(217,213),(107,209),
147:(194,65),(132,191),(218,213),(107,210),
148:(194,65),(132,191),(218,214),(107,211),
149:(194,65),(132,191),(218,215),(107,212),
150:(194,65),(132,191),(218,216),(107,213),
151:(194,65),(132,191),(219,216),(107,214),
152:(194,65),(132,191),(219,217),(107,215),
153:(194,65),(132,191),(220,217),(107,216),
154:(194,65),(132,191),(220,218),(107,217),
155:(194,65),(132,191),(221,218),(107,218),
156:(194,65),(132,191),(222,218),(107,219),
157:(194,65),(132,191),(222,219),(107,220),
158:(194,65),(132,191),(222,219),(107,221),
159:(194,65),(132,191),(222,219),(107,222),
160:(194,65),(132,191),(222,219),(107,223),
161:(194,65),(132,191),(222,219),(107,224),
162:(194,65),(132,191),(222,219),(107,225),
163:(194,65),(132,191),(222,219),(107,226),
164:(194,65),(132,191),(222,219),(107,227),
165:(194,65),(132,191),(222,219),(107,228),
166:(194,65),(132,191),(222,219),(107,229),
167:(194,65),(132,191),(222,219),(107,230),
168:(194,65),(132,191),(222,219),(107,231),
169:(194,65),(132,191),(222,219),(107,232),
