0:(220,92),(146,202),(254,112),(87,83),(24,153),(51,230),(82,170),(93,77),(56,9),(141,38),(250,121),(178,15),(157,140),(80,142),(125,82),(13,43),(115,248),(17,151),(79,126),(126,184),(171,101),(78,150),(6,76),(117,214),(47,167),(41,230),(212,35),(98,225),(73,11),(185,156),(29,46),(41,234),(243,189),(5,10),
1:(220,91),(146,201),(254,111),(87,84),(25,153),(51,229),(83,170),(93,78),(57,9),(142,38),(250,122),(177,15),(157,139),(80,141),(126,82),(14,43),(115,247),(18,151),(79,127),(126,185),(171,100),(77,150),(7,76),(118,214),(47,168),(41,229),(211,35),(98,224),(73,12),(185,157),(29,47),(41,233),(243,188),(6,10),
2:(220,90),(146,200),(253,111),(88,84),(26,153),(51,228),(84,170),(93,79),(58,9),(143,38),(249,122),(176,15),(157,138),(80,140),(127,82),(15,43),(115,246),(19,151),(79,128),(126,186),(171,99),(76,150),(8,76),(119,214),(47,169),(41,228),(210,35),(98,223),(73,13),(185,158),(29,48),(41,232),(243,187),(6,11),
3:(219,90),(145,200),(252,111),(88,85),(27,153),(51,227),(85,170),(94,79),(59,9),(144,38),(248,122),(175,15),(158,138),(80,139),(128,82),(16,43),(114,246),(20,151),(79,129),(126,187),(171,98),(75,150),(9,76),(120,214),(47,170),(41,227),(209,35),(98,222),(73,14),(185,159),(29,49),(41,231),(242,187),(6,12),
4:(219,89),(145,199),(251,111),(88,86),(28,153),(51,226),(86,170),(94,80),(60,9),(145,38),(247,122),(175,16),(159,138),(80,138),(129,82),(16,44),(114,245),(21,151),(79,130),(125,187),(171,97),(75,151),(10,76),(121,214),(47,171),(41,226),(209,36),(99,222),(73,15),(184,159),(29,50),(41,230),(241,187),(6,13),
5:(219,88),(145,198),(251,112),(88,87),(29,153),(51,225),(87,170),(94,81),(61,9),(146,38),(246,122),(174,16),(160,138),(80,137),(130,82),(16,45),(114,244),(22,151),(79,131),(124,187),(171,96),(74,151),(11,76),(122,214),(47,172),(41,225),(209,37),(99,221),(73,16),(183,159),(29,51),(41,229),(241,186),(6,14),
6:(218,88),(144,198),(250,112),(88,88),(30,153),(51,224),(88,170),(95,81),(62,9),(147,38),(245,122),(173,16),(160,138),(80,136),(131,82),(16,46),(113,244),(23,151),(79,132),(123,187),(171,95),(73,151),(11,77),(123,214),(47,173),(41,224),(208,37),(99,220),(73,17),(183,160),(29,52),(41,228),(241,185),(6,15),
7:(218,87),(143,198),(249,112),(88,89),(31,153),(51,223),(89,170),(96,81),(63,9),(148,38),(244,122),(172,16),(160,138),(80,135),(132,82),(16,47),(112,244),(24,151),(79,133),(123,188),(171,94),(72,151),(11,78),(124,214),(47,174),(41,223),(207,37),(99,219),(73,18),(183,161),(29,53),(41,227),(240,185),(7,15),
8:(217,87),(143,197),(248,112),(89,89),(32,153),(51,222),(90,170),(96,82),(64,9),(149,38),(243,122),(172,17),(160,138),(80,134),(133,82),(16,48),(112,243),(25,151),(79,134),(122,188),(171,93),(72,152),(11,79),(125,214),(47,175),(41,222),(206,37),(99,218),(73,19),(182,161),(29,54),(41,226),(239,185),(7,16),
9:(217,86),(143,196),(247,112),(89,90),(32,154),(51,221),(91,170),(96,83),(65,9),(150,38),(242,122),(171,17),(160,138),(80,133),(134,82),(17,48),(112,242),(26,151),(79,135),(121,188),(171,92),(72,153),(11,80),(126,214),(47,176),(41,221),(205,37),(99,217),(74,19),(181,161),(29,55),(41,225),(238,185),(7,17),
10:(217,85),(142,196),(246,112),(90,90),(33,154),(51,220),(92,170),(97,83),(66,9),(150,37),(241,122),(170,17),(160,138),(80,132),(134,83),(17,49),(111,242),(27,151),(79,136),(121,189),(171,91),(71,153),(11,81),(127,214),(47,177),(40,221),(204,37),(99,216),(75,19),(180,161),(30,55),(41,224),(237,185),(7,18),
11:(217,84),(141,196),(245,112),(91,90),(34,154),(51,219),(93,170),(97,84),(66,10),(151,37),(240,122),(169,17),(160,138),(80,131),(134,84),(17,50),(110,242),(27,152),(79,137),(120,189),(171,90),(71,154),(12,81),(127,215),(47,178),(39,221),(203,37),(99,215),(76,19),(179,161),(31,55),(41,223),(236,185),(7,19),
12:(216,84),(141,195),(245,113),(91,91),(35,154),(51,218),(94,170),(97,85),(66,11),(152,37),(239,122),(168,17),(160,138),(80,130),(134,85),(17,51),(110,241),(27,153),(79,138),(119,189),(171,89),(71,155),(13,81),(127,216),(47,179),(38,221),(202,37),(100,215),(76,20),(178,161),(31,56),(41,222),(235,185),(7,20),
13:(215,84),(141,194),(244,113),(91,92),(36,154),(51,217),(95,170),(98,85),(66,12),(153,37),(238,122),(167,17),(160,138),(80,129),(134,86),(17,52),(109,241),(27,154),(79,139),(118,189),(172,89),(71,156),(13,82),(127,217),(47,180),(37,221),(201,37),(100,214),(76,21),(177,161),(31,57),(41,221),(234,185),(7,21),
14:(215,83),(141,193),(243,113),(91,93),(37,154),(51,216),(96,170),(98,86),(66,13),(154,37),(237,122),(166,17),(160,138),(80,128),(134,87),(17,53),(109,240),(28,154),(79,140),(117,189),(172,89),(71,156),(14,82),(128,217),(47,181),(36,221),(200,37),(101,214),(77,21),(177,162),(31,58),(40,221),(233,185),(7,22),
15:(214,83),(140,193),(242,113),(91,94),(38,154),(51,215),(97,170),(98,87),(67,13),(155,37),(236,122),(165,17),(160,138),(80,127),(134,88),(18,53),(109,239),(29,154),(79,141),(116,189),(172,89),(71,156),(14,83),(129,217),(47,182),(35,221),(199,37),(101,213),(77,22),(177,163),(31,59),(39,221),(232,185),(7,23),
16:(214,82),(140,192),(242,114),(91,95),(38,155),(51,214),(98,170),(98,88),(67,14),(155,36),(235,122),(164,17),(160,138),(80,126),(134,89),(18,54),(108,239),(30,154),(79,142),(115,189),(172,89),(71,156),(14,84),(130,217),(47,183),(34,221),(199,38),(101,212),(77,23),(176,163),(31,60),(38,221),(231,185),(7,24),
17:(214,81),(140,191),(242,115),(91,96),(38,156),(51,213),(99,170),(98,89),(68,14),(156,36),(234,122),(163,17),(160,138),(80,125),(134,90),(18,55),(108,238),(31,154),(79,143),(114,189),(172,89),(71,156),(14,85),(131,217),(47,184),(33,221),(198,38),(101,211),(77,24),(175,163),(31,61),(37,221),(230,185),(7,25),
18:(213,81),(139,191),(242,116),(91,97),(38,157),(51,212),(100,170),(98,90),(69,14),(157,36),(233,122),(162,17),(160,138),(80,124),(134,91),(18,56),(108,237),(32,154),(79,144),(113,189),(172,89),(71,156),(15,85),(132,217),(47,185),(32,221),(197,38),(101,210),(77,25),(174,163),(31,62),(36,221),(230,184),(7,26),
